Taxa,BzM,BzD,BzS,JaM,JaD,JaS,BoM,BoD,BoS,Total
Paratanais sp A,6.6,6.6,14.3,9,2.8,1.8,36.1,4.8,20.6,102.6
Pseudoleptochelia sp A ,7.1,6.4,11.8,4.9,9.7,10.6,10.4,7.8,31.3,99.9
Leptochelia dubia ,7.8,7.3,13.6,12.2,15.1,9.6,4.6,14.1,8.9,93.2
Apseudes sp A ,5.9,1.9,19.8,0.9,1.4,1.5,3.2,2.1,0.7,37.4
"Gnathia (praniza, ovigerous)",4.6,11.8,5.5,6.6,13.4,2.3,4.2,10.2,3.5,62
Chevalia aviculae,3.7,6.6,5.3,17.7,2.6,1.7,6.8,7.5,0.8,52.5
Cirolana parva ,23.6,2.2,0.4,3.3,3.4,1.6,4.2,0.9,1.4,41.1
Pagurotanais bouryi*,0,0,0,0.5,0,11.7,3.8,0.3,0.7,16.9
Elasmopus rapax,2.2,2.8,1.4,4.9,5.4,4.7,0.3,3,0.9,25.7
Apseudomorpha sp A ,0.8,0.4,3.2,2.1,0,3.9,2.5,2.1,0.4,15.3
Excorallana antillensis,0.5,0.4,0.2,1.4,0.3,0.1,1.2,0,8.8,12.9
Sinelobus stanfordi ,3.3,2.8,4.4,0.9,0.6,1.1,0.1,5.4,1.1,19.8
Apanthura cracenta ,0.8,3.9,1.1,2.2,2.3,3.2,1,2.4,1.4,18.3
Synapseudes sp A ,0,1.5,0.1,0,0,8,1.3,0,0.5,11.3
Geocerceis barbarae ,0.1,2.2,0.1,0.9,0.9,2.4,2.3,0.3,0.8,10
Leucothoe spinicarpa ,1.4,1.9,0.1,2.7,1.7,3.2,0.5,0,0.6,12.1
Gnathia puertoricensis ,1.1,2.4,1.2,0.9,2.8,0.4,1.2,0.3,0.5,10.9
Hansenium stebbingi,0.4,0.4,0.1,0.5,2.8,3.6,0.3,1.5,0.7,10.1
Amakusanthura magnifica ,0.8,0.4,0.8,1.4,2.3,1.4,0.1,1.5,0.7,9.4
