Order,Taxon,Date,BzS,BzM,BzD,BoM,BoD,BoS,JaS,JaM,JaD
AMPHIPODA,Apohyale sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca abdita,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca agassizi,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes bermudeus ,2013 May,12,1,8,0,0,1,4,9,0
AMPHIPODA,Ampelisca bicarinata,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Anamixis cavatura ,2013 May,0,0,2,0,0,0,0,1,0
ISOPODA,Apanthura cracenta ,2013 May,7,3,8,0,2,2,11,5,0
ISOPODA,Accalathura crenulata,2013 May,0,1,2,0,0,0,0,0,0
AMPHIPODA,Anamaera hixoni,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Anopsilana jonesi,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Alcirona krebsi,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Amakusanthura magnifica ,2013 May,6,3,0,0,1,0,5,5,1
ISOPODA,Amakusanthura sp ,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Apanthuroides millan,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudomorpha sp A ,2013 May,46,1,0,0,0,0,7,0,0
AMPHIPODA,Ampelisca sp,2013 May,0,0,0,0,0,0,1,0,0
AMPHIPODA,Ampithoe sp,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Anthomuda affinis ,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Anthuridea ,2013 May,1,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes orghidani,2013 May,1,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudidae A,2013 May,2,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes sp A ,2013 May,238,12,0,0,0,0,2,2,0
AMPHIPODA,Ampithoe ramondi,2013 May,0,2,1,0,0,2,2,0,0
AMPHIPODA,Ampelisca schellenbergi,2013 May,0,0,0,0,0,1,0,0,0
ISOPODA,Amakusanthura signata,2013 May,1,0,1,0,0,0,0,0,0
AMPHIPODA,Batea cuspidata ,2013 May,0,0,1,0,0,0,3,0,0
AMPHIPODA,Bemlos sp,2013 May,0,0,1,0,0,0,1,0,0
AMPHIPODA,Biancolina sp ,2013 May,0,0,0,0,0,1,0,0,0
AMPHIPODA,Bemlos spinicarpus ,2013 May,0,0,0,0,0,0,1,0,0
AMPHIPODA,Bemlos unicornis,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana albioida,2013 May,0,0,0,1,0,0,0,0,0
ISOPODA,Carpias algicola ,2013 May,0,0,0,0,0,3,16,1,1
CUMACEA,Campylaspis sp ,2013 May,0,1,0,0,0,0,0,0,0
CUMACEA,Cumella antipai,2013 May,0,0,0,0,0,0,1,0,0
CUMACEA,Cubanocuma gutzi ,2013 May,1,0,0,0,0,0,0,0,0
AMPHIPODA,Caribboecetes sp ,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella clavicauda ,2013 May,0,2,1,0,0,0,0,1,0
AMPHIPODA,Concarnes concavus,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana crenulitelson,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Curidia debrogania,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella garrityi,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cyclaspis goesi,2013 May,0,0,0,0,0,0,1,0,0
